modern,original
True .,True .
Quiet now !,Peace !
"Sir , my king , don't waste your time mulling over how strange this business is .","Sir , my liege , Do not infest your mind with beating on The strangeness of this business ."
"Just cry out , ""Ah me ! "" Just say ""love"" and ""dove."" Say just one lovely word to my good friend","Cry but ""Ay me ! "" Pronounce but ""love"" and ""dove."" Speak to my gossip Venus one fair word , One nickname for her purblind son and heir , Young Abraham Cupid , he that shot so true When King Cophetua loved the beggar maid. , He heareth not , he stirreth not , he moveth not ."
Your two sons ?,Where are thy two sons ?
I'll take all who served Brutus into my service .,"All that served Brutus , I will entertain them ."
But here she comes .,But here the lady comes .
"Fool , fool , hey , fool !","Fool , fool , fool , I say !"
It's Richard who sent us here to slaughter you .,Tis he that sends us to destroy you here .
Please let her speak .,"I pray you , hear her speak ."
Go bring them here .,Go fetch them hither .
"I told them to take Oh , what a big mistake !","Sir , I bade them take away you ."
you are the mirror image of your mother and you,thou art thy mother's glass and she in thee
not making worse what nature has made so bright,not making worse what nature made so clear
Would you tie me to a whole world of worries ?,Will you enforce me to a world of cares ?
and caused a healthy state to need medicine,and brought to medicine a healthful state
"Look around you , Caesar .","See , Caesar !"
I'm afraid you'll come to me again for ransom .,I fear thou wilt once more come again for a ransom .
i am more than enough annoying you still,more than enough am i that vex thee still
What kind of man is he ?,"I beseech you , what manner of man is he ?"
"Believe that you are a foolish little baby for believing these ""offers"" are something real .","Think yourself a baby That you have ta'en these tenders for true pay , Which are not sterling ."
"At your service , madam .","Here , madam , at your service ."
I don't doubt your wisdom .,I doubt not of your wisdom .
Please let me go .,"I pray you , give me leave to go from hence ."
I know my medicine will work on him .,I know my physic will work with him .
The lack of time and the risk I'm under will have to keep us from bonding and catching up on each other's news the way we usually would after not seeing each other for so long .,"The leisure and the fearful time Cuts off the ceremonious vows of love And ample interchange of sweet discourse , Which so-long-sundered friends should dwell upon ."
There I'll see only myself .,There I shall see mine own figure .
"Well , I'm not beautiful , so I hope that I can at least be chaste .","Well , I am not fair , and therefore I pray the gods make me honest ."
With crisscrossed laces ?,And cross-gartered ?
"Yes , why shouldn't she ?","Yea , wherefore should she not ?"
"It's almost morning , but I'm sure you're not fully satisfied about what happened .","It is almost morning , And yet I am sure you are not satisfied Of these events at full ."
your cruel eye has taken me from myself,me from my self thy cruel eye hath taken
"Yes , and I'll keep crying a while longer .","Yea , and I will weep a while longer ."
"The three-beat rhythm is a good for dancing , and the church bells chime , one , two , three .","The triplex , sir , is a good tripping measure , or the bells of Saint Bennet , sir , may put you in mind , one , two , three ."
They're ready whenever you are .,They stay upon your patience .
just like when i first honored your beautiful name,even as when first i hallowed thy fair name
"Lord Hamlet. , Please let him be all right !","Lord Hamlet , Heaven secure him !"
"My name's Stephano , and I've come to tell you my mistress will arrive here at Belmont before sunrise .","Stephano is my name , and I bring word My mistress will before the break of day Be here at Belmont ."
But prepare yourself for some unpleasantness .,But be thou armed for some unhappy words .
"No , our general's infatuation is out of control .","Nay , but this dotage of our general's O'erflows the measure ."
"If she and I are happy , what's it to you ?","If she and I be pleased , what's that to you ?"
You haven't lost it unless you think you have .,You have lost no reputation at all unless you repute yourself such a loser .
"Anyway , sir , should I go see the lady ?","Sir , shall I to this lady ?"
"Oh , yes , I'm sorry , uncle. , If you'll excuse me , your grace .","I cry you mercy , uncle. , By your Grace's pardon ."
"Look for yourself , see the top of the cliff way up there ?",Look up a-height .
Very wise .,Excellent .
I wouldn't have dared !,I durst not !
And I've built two chapels where solemn priests sing continually for Richard's soul .,And I have built Two chantries where the sad and solemn priests Sing still for Richard's soul .
Can't you wait for a moment ?,Can you not stay awhile ?
But let me try my luck on the boxes .,But let me to my fortune and the caskets .
"Octavius , I'm older than you are .","Octavius , I have seen more days than you ."
"Oh , grief has transformed me since the last time you saw me .","O , grief hath changed me since you saw me last , And careful hours with time's deformed hand Have written strange defeatures in my face ."
I am not in the giving mood today .,I am not in the giving vein today .
You'll find us both at Crosby Place .,"At Crosby Place , there shall you find us both ."
But he isn't here now .,He is not here .
How ingenious to make horseshoes out of felt .,It were a delicate stratagem to shoe A troop of horse with felt .
from his downfall and look another way,from his low tract and look another way
"Here's where they'll end up , on the floor .","Here they'll be , man ."
But tell me .,"I pray thee , overname them ."
I'll forget that I have any home besides this spot right here .,"And I'll still stay , to have thee still forget , Forgetting any other home but this ."
"The present time is like a woman in labor , each minute giving birth to some piece of news .","With news the time's with labor , and throws forth Each minute some ."
your love and sympathy fills in the mark,your love and pity doth the impression fill
"He's great-looking , but how can you talk to someone who doesn't speak your language ?","He is a proper man's picture , but alas , who can converse with a dumb show ?"
It's too bad .,Tell thou the tale !
"If I told them about this back in Naples , would they believe me ?","If in Naples I should report this now , would they believe me ?"
Good morning to you .,Good morrow to thee .
And you can do poor things that lead to rich results .,And most poor matters Point to rich ends .
"The fractured world , in its confusion , should send lions into the city streets and humans into the wilderness to live in lions' dens .",The round world Should have shook lions into civil streets And citizens to their dens .
How is it that you've come back so soon ?,How chance thou art returned so soon ?
"As long as you move gracefully , look handsome , and say nothing , I'm yours for the dance .","So you walk softly , and look sweetly , and say nothing , I am yours for the walk , and especially when I walk away ."
You've got something for me ?,A thing for me ?
In that case you should sleep .,It seldom visits sorrow .
Your brothers ?,Where be thy brothers ?
"But you were with him , weren't you ?","Why , you were with him , were you not ?"
"No , a woman's gentle brain could never have come up with such crude expressions and even harsher meanings .","Women's gentle brain Could not drop forth such giant-rude invention , Such Ethiop words , blacker in their effect Than in their countenance ."
Here's my hand .,There's my hand .
"Well , I wish you liked me .","Well , I would you did like me ."
My husband .,My husband ?
Why ?,Wherefore ?
"Oh , be quiet .","Peace , peace !"
I will confess it to all the world .,I will confess it to all the 'orld .
I'm arresting you as a criminal .,I do defy thy commination And apprehend thee for a felon here .
I was ordered not to .,I was forbid it .
then i expect that death will end my days,then look i death my days should expiate
"Just think , I could be Count Malvolio !",To be Count Malvolio !
But wait a minute .,"But soft you , let me be ."
That's not what I wish .,So would not I .
Isn't that the king ?,Is 't not the king ?
"Why so pale , my friend ?","How now , my friend , why dost thou look so pale ?"
"Welcome , my friends .","Welcome , my friends all ."
"If you're as good at pleading to them as I am at saying no to you , this will definitely come to a happy end .","An if you plead as well for them As I can say ""nay"" to thee for myself , No doubt we bring it to a happy issue ."
"I'll leave now , to set all these things right .",And from hence I go To make these doubts all even .
this bloody spur cant provoke him to ride more quickly,the bloody spur cannot provoke him on
"I assure you , sir , it's true .","I do assure thee , father , so it is ."
since my verses strive for no other goal,for to no other pass my verses tend
"If he agrees , great .","If he will take it , so ."
Thank you very much .,I am much bound to you .
We have not betrayed you .,"Do not yourself such wrong , who are in this Relieved but not betrayed ."
I will lower my voice .,I pray you and beseech you that you will .
"It's not friendly , and it's not ladylike .","It is not friendly , 'tis not maidenly ."
"And before I make her normal again , I can cure her by treating her with another plant , I'll make her give me that little boy as my page .","And ere I take this charm from of her sight , As I can take it with another herb , I'll make her render up her page to me ."
I'm sorry my noble brother is suspicious of me .,Sorry I am my noble cousin should Suspect me that I mean no good to him .
I lent my body once to make him rich .,"I once did lend my body for his wealth , Which but for him that had your husband's ring Had quite miscarried ."
I'll shut up now .,Here's our chief guest .
"No , with Demetrius .",With Demetrius .
then the idea of this everchanging state,then the conceit of this inconstant stay
"If I stay longer , I'll embarrass you and disgrace myself by crying .","I am so much a fool , should I stay longer It would be my disgrace and your discomfort ."
was it the magnificent sail of his great verse,was it the proud full sail of his great verse
What satisfaction could you possibly have tonight ?,What satisfaction canst thou have tonight ?
"Oh , noise ?","Yea , noise ?"
I told him you were asleep .,I told him you were asleep .
These times of pain are bad times for romance .,These times of woe afford no time to woo .
"We're all against what Caesar stands for , and there's no blood in that .","We all stand up against the spirit of Caesar , And in the spirit of men there is no blood ."
although all of your parts in me will be forgotten,although in me each part will be forgotten
"Yet not one among them , if all three were to wait on me , could be my ""man , "" because three such fakes don't amount to a man .","I am boy to them all three , but all they three , though they would serve me , could not be man to me ."
Are we bothering you ?,Do we trouble you ?
We know what's appropriate for a watch .,We know what belongs to a watch .
"Come on in , tailor .","Come in , tailor ."
Can't you see that ?,Seest not ?
Your wild actions resemble the irrational fury of a beast .,Thy wild acts denote The unreasonable fury of a beast .
They made him drink the leftover wine usually given to the poor .,They have made him drink alms-drink .
"We'll outwit them all , that old geezer , Gremio ; the suspicious father , Minola ; the prim musician lover , Litio , all for the sake of my master , Lucentio .","We'll overreach the graybeard , Gremio , The narrow-prying father , Minola , The quaint musician , amorous Litio , All for my master's sake , Lucentio ."
"Go away , get out of here , and stop following me .","Hence , get thee gone , and follow me no more ."
Damn it !,And nothing is at a like goodness still .
Sextus Pompeius is sailing toward the port of Rome .,Sextus Pompeius Makes his approaches to the port of Rome .
"I know his eyes are worshiping some other woman , or why wouldn't he be here ?","I know his eye doth homage otherwhere , Or else what lets it but he would be here ?"
I was sent for a rope !,God and the rope-maker bear me witness That I was sent for nothing but a rope .
but whatever the other poet writes about you,yet what of thee thy poet doth invent
"Then I beat my drum , at which point they pricked up their ears and opened their eyes , looking around for the source of my music .","Then I beat my tabor , At which , like unbacked colts , they pricked their ears , Advanced their eyelids , lifted up their noses As they smelt music ."
We'll have supper in the morning .,We'll go to supper i ' th ' morning .
We are fortunate in the change .,We are blessed in the change .
"But only hint at this vaguely , because , as you know , my mother's still alive .","Yet touch this sparingly , as 'twere far off , Because , my lord , you know my mother lives ."
Let's speak to him .,Let's speak to him .
"How late is it , lords ?","How far into the morning is it , lords ?"
Arrest him : he's a friend of the duke of Alencon's .,He's a friend of the Duke Alencon's .
to give yourself away in marriage would preserve you,to give away yourself keeps yourself still
"Oh , quick , before I'm gone .","Oh , quick , or I am gone ."
"Fine , but not enough .","Ay , but not enough ."
Take a little vacation in Mantua .,Sojourn in Mantua .
"Yes , but these English are seriously short of beef .","Ay , but these English are shrewdly out of beef ."
"Also , you're supposed to visit all the bars and tell anyone who's drunk to go home and go to bed .","Well , you are to call at all the alehouses and bid those that are drunk get them to bed ."
my mistresss eyes are nothing like the sun,my mistress' eyes are nothing like the sun
"Look how your servants wait on you , each one ready to do whatever you command .","Look how thy servants do attend on thee , Each in his office ready at thy beck ."
There's nothing of the weak woman left in me .,"My resolution's placed , and I have nothing Of woman in me ."
I wouldn't want a heart like hers even if you made me queen .,I would not have such a heart in my bosom for the dignity of the whole body .
and sadly tell the stories of each and every loss once again,and heavily from woe to woe tell over
This speech is going on too long .,This is too long .
Myself ?,"Despair , and die !"
"Oh , dear gods !",O the blessed gods !
I have to do these things before I have a chance to think about them .,"Strange things I have in head , that will to hand , Which must be acted ere they may be scanned ."
"This epitaph will hang here forever , Continuing to praise Hero after I die .","Hang thou there upon the tomb , Praising her when I am dumb ."
by good fortune i think about you and then i feel,haply i think on thee and then my state
I heard the owl scream and the crickets cry .,I heard the owl scream and the crickets cry .
"Hey , bride !","Why , bride !"
and disgusting caterpillar lives in the most beautiful flower,and loathsome canker lives in sweetest bud
Do you think it's a good idea to rush ?,Do you like this haste ?
"Yes , my lord ?",My lord .
"Lily-livered coward , what's he doing there ?","White-livered runagate , what doth he there ?"
"Now it's time to get back to my studying , since I have a lot of serious business to take care of before dinner .","I'll to my book , For yet ere supper-time must I perform Much business appertaining ."
"Oh , don't ask me why I ""need"" them !","O , reason not the need !"
"Yes , that's me .","Yea , the same ."
"But why , why , why ?","But why , why , why ?"
Kent's been banished just like that ?,Kent banished thus ?
Good morning to you both .,Good morrow to you both .
Don't insult me with your distrust .,Make me not offended In your distrust .
"Oh , please be quiet .","Prithee , no more ."
Do you even know what you're talking about ?,Do you know what you say ?
"My liege , this was my glove .","My liege , this was my glove ; here is the fellow of it ."
"The king of Naples , my arch-enemy , listens to my brother's request , which was that the king , in exchange for the respect and money paid to him , would get rid of me and make my brother Duke of Milan instead .","The King of Naples , being an enemy To me inveterate , hearkens my brother's suit , Which was that he , in lieu o ' th ' premises Of homage and I know not how much tribute , Should presently extirpate me and mine Out of the dukedom , and confer fair Milan With all the honors on my brother ."
was it his spirit guided by spirits to write,was it his spirit by spirits taught to write
"Which he quickly allowed , given that you're an obstacle to his lust .","Which soon he granted , Being an obstruct 'tween his lust and him ."
"Oh , sir , impetuous people learn their lessons from the consequences of their foolish actions .","O sir , to wilful men , The injuries that they themselves procure Must be their schoolmasters ."
"But please , tell me : is he coming home ?","But say , I prithee , is he coming home ?"
"How are you , Roderigo ?","How now , Roderigo !"
We won't take their garbage .,"I mean , an we be in choler , we'll draw ."
They're well too .,Well too .
"He's pretty awful in the morning when he's sobering up , and even worse in the afternoon when he's drunk .","Very vilely in the morning , when he is sober , and most vilely in the afternoon , when he is drunk ."
"He's still sharp when it comes to carrying out a bold or noble enterprise , though he puts on this show of stupidity .","So is he now in execution Of any bold or noble enterprise , However he puts on this tardy form ."
if i could teach you common sense it would be better,if i might teach thee wit better it were
I'll do it with all my heart .,"With all my heart , and much it joys me too To see you are become so penitent. , Tressel and Berkeley , go along with me ."
"Just as I did with the meat , I'll make up some problem with the way the bed is made , and throw the pillow one way and the cushion the other , and the blanket over here and the sheets over there .","As with the meat , some undeserved fault I'll find about the making of the bed , And here I'll fling the pillow , there the bolster , This way the coverlet , another way the sheets ."
"A virtuous woman won't give her husband horns , and my Rosalind is definitely virtuous .","Virtue is no hornmaker , and my Rosalind is virtuous ."
How long do you plan to stay here in this forest ?,How long within this wood intend you stay ?
I'm not a fighter .,I am no fighter .
"I'll follow in the center of the troop formation , which I'll defend with my best horse , and with Saint George on my side , as well !","They thus directed , we will follow In the main battle , whose puissance on either side Shall be well winged with our chiefest horse ."
Cambio is transformed into Lucentio .,Cambio is changed into Lucentio .
"No , I swear , I don't even know what's in it .","No , I protest , I know not the contents ."
I always loved you .,I loved you ever .
Not for a second .,Never believe it .
He liked to call me a loan shark ; let him think about his debt to me .,He was wont to call me usurer ; let him look to his bond .
"Please , let me review the contract .","I pray you , let me look upon the bond ."
"Now , good-bye .",Fare thee well at once .
You said it when you were furious .,That was in thy rage .
God forbid that I snatch the crown from him .,"On him I lay what you would lay on me , The right and fortune of his happy stars , Which God defend that I should wring from him ."
my poor soul which is the centre of my sinful body,poor soul the centre of my sinful earth
"I won't be satisfied until I get even with him , wife for wife .","The thought whereof Doth , like a poisonous mineral , gnaw my inwards , And nothing can or shall content my soul Till I am evened with him , wife for wife ."
Or thorn-bushes .,"Or docks , or mallows ."
"I'm even happier that I'm not stupid , and I can learn .","Happier than this , She is not bred so dull but she can learn ."
I don't know .,I do not know .
"I'll do anything rather than marry a drunk , Nerissa .","I will do any thing , Nerissa , ere I'll be married to a sponge ."
"Long live Theseus , our famous and respected duke !","Happy be Theseus , our renowned duke ."
I'm not as happy as I seem .,"I am not merry , but I do beguile The thing I am by seeming otherwise ."
I'll commute your death sentence .,Thou shalt not die .
I want to take the love I had for my cousin and take it out on the body of the man who killed him .,To wreak the love I bore my cousin Upon his body that slaughtered him !
Leave out the water .,Cast on no water .
"Actually , it's my arm .",It is my arm .
"They're lying over there , and the poor old man , their father , weeps so piteously over them that the whole audience has joined him in grieving .","Yonder they lie , the poor old man their father making such pitiful dole over them that all the beholders take his part with weeping ."
"Edmund is dead , my lord .","Edmund is dead , my lord ."
"Don't get wound up , my good man .","Nay , good , be patient ."
"I don't think he'd have any choice , my lord .","Believe me , lord , I think he can not choose ."
What are you Nothing .,Nothing .
She will not .,She will not .
You said those exact things to me back in the marketplace .,"Villain , thou liest ; for even her very words Didst thou deliver to me on the mart ."
I doubt it's anything but the obvious reason : his father's dying and our quick marriage .,I doubt it is no other but the main : His father's death and our o'erhasty marriage .
Just know this before I begin : I can't play a single note that's worthy of note .,Note this before my notes : There's not a note of mine that's worth the noting .
This is a majestic and harmonious vision .,"This is a most majestic vision , and Harmonious charmingly ."
"All these friends are my witnesses , so I swear to you , I swear by your beautiful eyes , in which I see myself reflected , Did you hear that !","Portia , forgive me this enforced wrong , And in the hearing of these many friends I swear to thee , even by thine own fair eyes Wherein I see myself , Mark you but that !"
"Therefore , I beg your Highness , pardon me .","Therefore , I beseech your Highness pardon me ."
"The sorrow that I feel actually belongs to you , and the high life you enjoy actually belongs to me .","The sorrow that I have by right is yours , And all the pleasures you usurp are mine ."
Can you buy them with money ?,Will money buy 'em ?
my ignorance as high as learning,as high as learning my rude ignorance
Freedom !,Freedom !
that something good is made even better by evil,that better is by evil still made better
"Read it , Mark Antony .","Read it , Mark Antony !"
"break out , civil war erupts , kings are betrayed , and the bond between father and son snaps .","mutinies , in countries discord , in palaces treason , and the bond cracked 'twixt son and father ."
"Lord , "" he calls you ?","Lord , "" quoth he ?"
We have to give up and let him go .,"Well , let him go ."
"You're wrong , you madman .","Madman , thou errest ."
Go to her and tell her for me .,Go you and tell her of it .
But back to that argument you mentioned .,But for the seventh cause .
Even good men have bad luck .,A good man's fortune may grow out at heels .
Macbeth !,Macbeth !
"Yes , but the clerk will never do it , unless he grows up to be a man .","Ay , but the clerk that never means to do it Unless he live until he be a man ."
The problem is that they have to compete with a group of children who yell out their lines and receive outrageous applause for it .,"But there is , sir , an eyrie of children , little eyases , that cry out on the top of question and are most tyrannically clapped for 't ."
who hates you that i call my friend,who hateth thee that i do call my friend
We will watch the execution .,We will behold his death .
"Just as I told you , he usually sleeps in the afternoon .","Why , as I told thee , 'tis a custom with him , I ' th ' afternoon to sleep ."
"You who are beautiful beyond words , calm down and let me explain myself .","Fairer than tongue can name thee , let me have Some patient leisure to excuse myself ."
"Get out of my sight , or I'll give you what you deserve and spoil Caesar's victory .","Vanish , or I shall give thee thy deserving , And blemish Caesar's triumph ."
"Believe me , then , that I have special powers .","Believe then , if you please , that I can do strange things ."
"And there's a messenger representing a fifth one , the prince of Morocco , who says the prince will be here tonight .","And there is a forerunner come from a fifth , the Prince of Morocco , who brings word the prince his master will be here tonight ."
Quiet !,You bring me out .
What can I do for you ?,What is your pleasure ?
"She lives about twenty miles from Athens , and she thinks of me as a son .","From Athens is her house remote seven leagues , And she respects me as her only son ."
Is he really married ?,He is married ?
What power can rein in promiscuous evil once it's gotten rolling ?,What rein can hold licentious wickedness When down the hill he holds his fierce career ?
He has come to kill my heart .,He comes to kill my heart .
"Captain Macmorris , if you take my words in some way other than how they were meant , see , I'll have to think you're not treating me with the good will you ought to , see , since I am as good a man as yourself , both in the practice of war and in my country of origin and in other respects .","Look you , if you take the matter otherwise than is meant , Captain Macmorris , peradventure I shall think you do not use me with that affability as , in discretion , you ought to use me , look you , being as good a man as yourself , both in the disciplines of war and in the derivation of my birth and in other particularities ."
Look how she rubs her hands .,"Look , how she rubs her hands ."
"Let me say ""amen"" quickly , before the devil comes in and stops my prayer , because here comes the devil , disguised as a Jew .","Let me say ""Amen"" betimes , lest the devil cross my prayer , for here he comes in the likeness of a Jew ."
"No , I swear by my life and soul !","No , by my life and soul !"
"If I saw twenty of the greatest powers that pay tribute to Caesar taking such liberties with her hand , what's her name now ?","Were 't twenty of the greatest tributaries That do acknowledge Caesar , should I find them So saucy with the hand of she here , what's her name Since she was Cleopatra ?"
We've finished our business .,We have done our course .
The Jew will have justice .,The Jew shall have all justice .
so that you by losing me can go on to bigger and better things,that thou in losing me shalt win much glory
Boatswain !,Boatswain !
"What's the ""seventh cause"" ?",How did you find the quarrel on the seventh cause ?
To hell with this idiot !,The dropsy drown this fool !
"But I'll deliver Sir Andrew's challenge by word of mouth , describing Sir Andrew as courageous in battle and convincing the young gentleman that Sir Andrew is furious , impetuous , and a skilled fighter ( he'll believe me because he's young ) .","But , sir , I will deliver his challenge by word of mouth , set upon Aguecheek a notable report of valor , and drive the gentleman ( as I know his youth will aptly receive it ) into a most hideous opinion of his rage , skill , fury , and impetuosity ."
Not a second more .,No more but so ?
"The king , whom I hope God will protect better than you would like , can't get a minute's rest without you bothering him with your outrageous complaints .","His royal grace , Whom God preserve better than you would wish , Can not be quiet scarce a breathing while But you must trouble him with lewd complaints ."
"If I can trust my dreams , then some joyful news is coming soon .","If I may trust the flattering truth of sleep , My dreams presage some joyful news at hand ."
Let's carry him in triumph to his house !,Bring him with triumph home unto his house !
"Young budding virgin , fair and pure and sweet , where are you off to ?","Young budding virgin , fair and fresh and sweet , Whither away , or where is thy abode ?"
You look tired .,You look wearily .
"I'm here , here !","Here , here !"
"He should swear by his two-faced self , and that's an oath I'll believe !","Swear by your double self , And there's an oath of credit !"
Then the Jew must show you mercy .,Then must the Jew be merciful .
"Your mother was extremely virtuous , and she said you were my daughter .",Thy mother was a piece of virtue and She said thou wast my daughter .
That must mean a sword .,"O , that's the sword to it ."
"Spread the rumor abroad that Anne , my wife , is very sick .",Rumor it abroad That Anne my wife is very grievous sick .
Come .,Come .
The sight made me so sick I couldn't watch any more .,Mine eyes did sicken at the sight and could not Endure a further view .
"Oh , so you'd give me all your tediousness ?","All thy tediousness on me , ah ?"
"My lady Olivia , your niece , disapproves of your late-night partying .","Your cousin , my lady , takes great exceptions to your ill hours ."
"Well , if you don't , then I'm out of here .","Nay , an you will not , sir , I'll take my heels ."
"He doesn't have any daughters , sir .","He hath no daughters , sir ."
"Time , you thwart my dreadful plans .","Time , thou anticipat'st my dread exploits ."
"Whatever I say , or think , or do , you're continually contradicting it .","Look what I speak , or do , or think to do , You are still crossing it ."
"Then go gather your men , but leave behind your son , George Stanley .","Go then and muster men , but leave behind Your son George Stanley ."
"Oh , just lies , sir .","Slanders , sir ."
"If you want to make me happy , don't wish yourself harm .","To feed my humor , wish thyself no harm ."
Do you see that cloud up there that looks like a camel ?,Do you see yonder cloud that's almost in shape of a camel ?
you are as beautiful in knowledge as you are in complexion,thou art as fair in knowledge as in hue
He's not here .,Not here in presence .
Tell him a messenger has arrived from my master with good news .,Tell him there's a post come from my master with his horn full of good news .
"She takes these signs for warnings and predictions of terrible evils to come , and , on her knee , she begged me to stay home today .","And these does she apply for warnings and portents And evils imminent , and on her knee Hath begged that I will stay at home today ."
Is that a tradition ?,Is it a custom ?
"Give me your hand , and explain your situation to me .","Give me your hand , And let me all your fortunes understand ."
"If you refuse , let an eternal curse fall on you .","Deny me this , And an eternal curse fall on you !"
"Hear me , you wrangling pirates .","Hear me , you wrangling pirates , that fall out In sharing that which you have pilled from me !"
"Yes , do that .",Do .
Where's he going ?,Whither is he going ?
Why are you silent ?,Why are you silent ?
It's the last command I shall ever give you .,Tis the last service that I shall command you .
How did he get such an idea ?,How comes this trick upon him ?
"If I had seen something like that , I would have quickly pulled out my weapon .","If I had , my weapon should quickly have been out , I warrant you ."
which will remain above the rank of physical things,which shall above that idle rank remain
The father and the master and the king didn't order their subordinates ' deaths when they ordered their services .,"The king is not bound to answer the particular endings of his soldiers , the father of his son , nor the master of his servant , for they purpose not their death , when they purpose their services ."
"Now that I think about it , I really want it .",And now methinks I have a mind to it .
"Your Grace heard their saccharine words , but didn't take note of their poisonous intentions .",Your Grace attended to their sugared words But looked not on the poison of their hearts .
"I never saw a woman except her and Sycorax , my mother .","I never saw a woman , But only Sycorax my dam and she ."
Agreed .,Content .
"His knights are getting out of control , and he himself reprimands us about every little detail .","His knights grow riotous , and himself upbraids us On every trifle ."
Don't give him time to catch his breath .,"Give him no breath , but now Make boot of his distraction ."
"Be patient , madam .","Have patience , madam ."
"Come on , you're being ridiculous !","Marry , come up , I trow ."
"Look , here come two noble animals , a man and a lion .","Here come two noble beasts in , a man and a lion ."
Now let my courage prove my title as wife .,Now to that name my courage prove my title !
"From now on , take care of your messages yourself .",Henceforward do your messages yourself .
What's wrong with you ?,What's thy passion ?
What's the matter ?,What is the matter ?
Let's see .,Let's see .
"Will my daughter be a good musician , do you think ?","What , will my daughter prove a good musician ?"
"I should think that your appetite would act like a clock ( as mine does ) and bring you home on its own , without the need for a messenger .","Methinks your maw , like mine , should be your clock , And strike you home without a messenger ."
"If you dare to fight today , come to the field .","If you dare fight today , come to the field ."
"No , you shall not .","Nay , that you shall not ."
Be good .,Serve God .
"Oh , what misery !","Oh , misery !"
He is fortifying his castle at Dunsinane with heavy defenses .,Great Dunsinane he strongly fortifies .
What do you think he wants ?,"What's the matter , think you ?"
Can't you find a reason without my giving you one ?,Could you not take some occasion without giving ?
I'd like to think all men have some hope .,All men I hope live so .
Where's the cook ?,Where's the cook ?
Come with me .,Come .
"I'm not moving an inch , pal .","I'll not budge an inch , boy ."
Sit between us .,Sit i ' th ' middle .
"Hello , sir .","And you too , sir ."
So don't advise me .,Therefore give me no counsel .
Friar !,Friar !
I've been practicing fencing constantly since he went off to France .,"Since he went into France , I have been in continual practice ."
"Oh , it's horrible , horrible .","Oh , it is monstrous , monstrous ."
I long to be immortal .,I have Immortal longings in me .
But you don't love me .,But that you do not love me .
That duke who lives nearby is courting her .,The count himself here hard by woos her .
"In two months , a month before this loan is due , I expect to earn more than three times that much from my investments .","Within these two months , that's a month before This bond expires , I do expect return Of thrice three times the value of this bond ."
I am a gentleman of a company .,I am a gentleman of a company .
Where are you going ?,Whither away ?
how can it be oh how can loves eye be true,how can it o how can love's eye be true
"I have a good reason to cry , but my heart will splinter into a hundred thousand pieces before I let myself cry. , Oh , Fool , I'll go mad !","I have full cause of weeping , but this heart Shall break into a hundred thousand flaws , Or ere I'll weep. , O Fool , I shall go mad !"
"It is best to marry well and die young , better than to be married for a long time .","She's not well married that lives married long , But she's best married that dies married young ."
God protect you from them and from other false friends !,"God keep you from them , and from such false friends ."
My letters say there are a hundred and seven ships .,My letters say a hundred and seven galleys .
"They did want me to tell her , but I persuaded them that , if they truly loved Benedick , they would try to get him to battle his emotions and keep Beatrice in the dark .","They did entreat me to acquaint her of it , But I persuaded them , if they loved Benedick , To wish him wrestle with affection And never to let Beatrice know of it ."
"You'll discover that his youthful follies were like the persona that Well , you're wrong , my Lord High Constable .","Well , 'tis not so , my Lord High Constable ."
"I once wrote a sonnet in his praise which began , ""Wonder of nature , "" I have heard a sonnet to one's mistress that began like that .","I once writ a sonnet in his praise and began thus : ""Wonder of nature , "" I have heard a sonnet begin so to one's mistress ."
"But if you decide not to marry me , you'll marry this faithful shepherd instead ?","But if you do refuse to marry me , You'll give yourself to this most faithful shepherd ?"
"What , you look amused .","What , you look merrily ."
You're not supposed to get old until you're wise .,Thou shouldst not have been old till thou hadst been wise .
"Then he's the whining schoolboy , with a book bag and a bright , young face , creeping like a snail unwillingly to school .","Then the whining schoolboy with his satchel And shining morning face , creeping like snail Unwillingly to school ."
I thought it was the right thing to do .,I thought all for the best .
We've driven him all the way back to his camp .,We have beat him to his camp .
Who sent you here ?,Who sent you hither ?
stealing the treasure from his spring,stealing away the treasure of his spring
"Ask this man's forgiveness , love him , and accept his offer .","Cry the man mercy , love him , take his offer ."
I used to be the man in the moon a long time ago .,I was the man i ' the moon when time was .
"He has called for his horse , but I don't know where he's headed .","He calls to horse , but will I know not whither ."
"Good luck , fair gentleman .","Ay. , Fare you well , fair gentleman ."
Thank you .,I thank you .
"What's new , cousin Lodovico ?","And what's the news , good cousin Lodovico ?"
"My good King , surprise the English and let them know what kind of kingdom you rule over .","Good my sovereign , Take up the English short , and let them know Of what a monarchy you are the head ."
this is my wish its fulfillment makes me ten times happier,this wish i have then ten times happy me
"Since she would love both of you , you two would be joined in that love .",Her love to both Would each to other and all loves to both Draw after her .
Who here is so vile that he doesn't love his country ?,Who is here so vile that will not love his country ?
so that through this separation i can give,that by this separation i may give
"Learn to see better , Lear , and let me stay here where you can look to me for good advice .","See better , Lear , and let me still remain The true blank of thine eye ."
a jury of thoughts have gathered all tenants of the heart,a quest of thoughts all tenants to the heart
"If you struggle to bring down a tyrant , you will sleep peacefully when the tyrant is killed .","If you do sweat to put a tyrant down , You sleep in peace , the tyrant being slain ."
"Sir , the king , Yes , what about him ?","The king , sir , Ay , sir , what of him ?"
What's the news among the merchants ?,What news among the merchants ?
